product_name,brand,category,ingredients,size_packaging,image_url,product_page_url
Medicube – Zero Pore Pad 2.0 70 Pcs,,,,,https://qudobeauty.com/wp-content/uploads/2025/04/cnuuCkYhPP20241120181022-600x600.jpg,https://qudobeauty.com/product/medicube-zero-pore-pad-2-0-70-pcs/
"K-SECRET – SEOUL 1988 Serum: Retinal Liposome 2% + Black Ginseng, 30ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/res_022cec0a2f7498cf8bc71250375c7098-600x600.avif,https://qudobeauty.com/product/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/
Missha – Airy Fit Shea Butter Sheet Mask 19g,,,,,https://qudobeauty.com/wp-content/uploads/2025/04/images-71.jpeg,https://qudobeauty.com/product/missha-airy-fit-shea-butter-sheet-mask-19g/
"Medicube – PDRN Pink Peptide Serum, 30ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/Medicube-PDRN-Pink-Peptide-Serum-30ml-1-600x600.jpg,https://qudobeauty.com/product/medicube-pdrn-pink-peptide-serum-30ml/
"SKIN1004 – Madagascar Centella Gentle Cleansing Oil, 200ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/06/51aIyQjJ4NL.jpg_BO30255255255_UF900850_SR191010000C_PIRIOFOURANDHALF-mediumBottomLeft30-20_ZJPHNwYW4gZm9yZWdyb3VuZD0iIzU2NTk1OSIgZm9udD0iQW1hem9uRW1iZXIgNTAiID44wqA5NjI8L3NwYW4500900420-600x600.jpg,https://qudobeauty.com/product/skin1004-madagascar-centella-gentle-cleansing-oil-200ml/
SKIN1004 – Poremizing Quick Clay Stick Mask 27g,,,,,https://qudobeauty.com/wp-content/uploads/2025/06/skin1004-poremizing-quick-clay-stick-mask_8809913830085_DarBeauty-600x600.webp,https://qudobeauty.com/product/skin1004-poremizing-quick-clay-stick-mask-27g/
"Medicube – Age-R Glutathione Glow Capsule Cream, 50ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/medicube-age-r-glutathione-glow-capsule-e-ko-skin-01-600x600.webp,https://qudobeauty.com/product/medicube-age-r-glutathione-glow-capsule-cream-50ml/
"Medicube – Deep Vita C Capsule Cream, 55g",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/Frame-1618871782.jpg,https://qudobeauty.com/product/medicube-deep-vita-c-capsule-cream-55g/
"K-SECRET – SEOUL 1988 Eye Cream: Retinal Liposome 4% + Fermented Bean, 30ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/K-Beauty_Store_Giftcard-227-1-600x600.webp,https://qudobeauty.com/product/ksecret-seoul-1988-eye-cream-retinal-liposome-4-fermented-bean-30ml/
"Farmstay – Real Aloe Vera Face Mask, 23ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/07/8809809800314.jpg,https://qudobeauty.com/product/farmstay-real-aloe-vera-face-mask-23ml/
"Shiseido – Fino Premium Touch Shampoo, 550ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/Shiseido-Fino-Premium-Touch-Shampoo.jpg,https://qudobeauty.com/product/shiseido-fino-premium-touch-shampoo-550ml/
"AXIS-Y – Vegan Collagen Eye Serum, 10ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/res_724db353726eb02b961e903beedeecc9-copy-600x600.png,https://qudobeauty.com/product/axis-y-vegan-collagen-eye-serum-10ml/
"Dr. Althea – Pure Grinding Cleansing Balm, 50ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/dr-althea-pure-grinding-cleansing-balm-50-ml-600x600.webp,https://qudobeauty.com/product/dr-althea-pure-grinding-cleansing-balm-50-ml/
"Haruharu Wonder – Black Rice Probiotics Barrier Essence, 120ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/HaruHaru-Wonder-Black-Rice-Probiotics-Barrier-Essence-120ml-1-2-600x600.jpg,https://qudobeauty.com/product/haruharu-wonder-black-rice-probiotics-barrier-essence-120ml/
"Medicube – Zero Pore Blackhead Mud Mask, 100g",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/images-70.jpeg,https://qudobeauty.com/product/medicube-zero-pore-blackhead-mud-mask-100g/
"Dr. Althea – 345 Relief Cream, 50ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/DrAltheaReliefCream1-600x600.webp,https://qudobeauty.com/product/dr-althea-345-relief-cream-50ml/
"Farmstay – Real Avocado Essence Mask, 23ml",,,,,https://qudobeauty.com/wp-content/uploads/2025/07/8809809800291-600x630.jpg,https://qudobeauty.com/product/farmstay-real-avocado-essence-mask-23ml/
"Shiseido – Fino Premium Touch Hair Mask, 230g",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/shiseido-fino-premium-touch-hair-mask-700g-refill-438042.webp,https://qudobeauty.com/product/shiseido-fino-premium-touch-hair-mask-230g/
Medicube – Kojic Acid Turmeric Brightening Gel Mask – 28g,,,,,https://qudobeauty.com/wp-content/uploads/2025/06/Medicube_Turmeric_b88c3563-c69e-49e3-9bf4-41a47919d064-1-600x600.webp,https://qudobeauty.com/product/medicube-kojic-acid-turmeric-brightening-gel-mask-28g/
"COSRX – Acne Pimple Master Patch, 24 count",,,,,https://qudobeauty.com/wp-content/uploads/2025/04/GUEST_0a2a7cea-8056-4a33-9b22-4993e4269633-600x600.avif,https://qudobeauty.com/product/cosrx-acne-pimple-master-patch-24-count/
